epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4347,1.5681,1.4100,0.4975,1.4136,1.2832,0.0010000,242
2,0.5051,1.4412,1.2514,0.5104,1.3777,1.2660,0.0010000,477
3,0.5495,1.2591,1.1936,0.5290,1.3347,1.2468,0.0010000,709
4,0.5874,1.1440,1.0481,0.5517,1.2859,1.2212,0.0010000,939
5,0.5996,1.2710,1.0819,0.5749,1.2262,1.1875,0.0010000,1166
6,0.6382,0.9825,0.9570,0.6037,1.1655,1.1525,0.0010000,1392
7,0.6179,1.0243,0.9932,0.6300,1.0985,1.1106,0.0010000,1616
8,0.6455,1.0959,0.9880,0.6576,1.0257,1.0500,0.0010000,1841
9,0.6640,0.9303,0.9252,0.6811,0.9479,0.9770,0.0010000,2064
10,0.6677,0.9226,0.9010,0.7014,0.8800,0.9034,0.0010000,2355,0.6974,0.8868,0.9041
11,0.6811,0.9304,0.8432,0.7167,0.8283,0.8315,0.0009044,2577
12,0.6856,1.0413,0.8270,0.7330,0.7836,0.7782,0.0009044,2799
13,0.7003,0.8914,0.7907,0.7456,0.7552,0.7362,0.0009044,3020
14,0.7110,0.8827,0.7737,0.7507,0.7338,0.7069,0.0009044,3240
15,0.6806,0.9772,0.8392,0.7582,0.7115,0.6859,0.0009044,3460
16,0.7131,0.8892,0.8188,0.7648,0.6919,0.6635,0.0009044,3680
17,0.7269,0.7192,0.7209,0.7722,0.6739,0.6409,0.0009044,3899
18,0.7142,1.0109,0.8832,0.7769,0.6583,0.6265,0.0009044,4117
19,0.7273,0.7156,0.7164,0.7814,0.6475,0.6145,0.0009044,4336
20,0.7331,0.8384,0.7639,0.7859,0.6356,0.6012,0.0009044,4622,0.7806,0.6488,0.6078
21,0.7351,0.8767,0.7866,0.7907,0.6265,0.5912,0.0008179,4840
22,0.7309,0.7076,0.6978,0.7941,0.6188,0.5832,0.0008179,5059
23,0.7443,0.7088,0.6620,0.7961,0.6113,0.5744,0.0008179,5277
24,0.7508,0.8784,0.7547,0.7984,0.6017,0.5648,0.0008179,5494
25,0.7654,0.7232,0.6899,0.8007,0.5959,0.5566,0.0008179,5712
26,0.7437,0.7663,0.6858,0.8037,0.5895,0.5493,0.0008179,5929
27,0.7681,0.4797,0.5108,0.8048,0.5879,0.5446,0.0008179,6146
28,0.7560,0.6873,0.6694,0.8062,0.5838,0.5391,0.0008179,6363
29,0.7573,0.5941,0.6181,0.8087,0.5783,0.5337,0.0008179,6581
30,0.7605,0.7618,0.6440,0.8108,0.5754,0.5286,0.0008179,6866,0.8042,0.5923,0.5400
31,0.7579,0.7311,0.7149,0.8141,0.5710,0.5226,0.0007397,7083
32,0.7733,0.6987,0.6999,0.8146,0.5704,0.5177,0.0007397,7300
33,0.7788,0.4779,0.5262,0.8144,0.5712,0.5160,0.0007397,7516
34,0.7613,0.6362,0.6113,0.8147,0.5611,0.5111,0.0007397,7733
35,0.7716,0.7488,0.7341,0.8179,0.5550,0.5071,0.0007397,7949
36,0.7667,0.7078,0.6189,0.8179,0.5538,0.5033,0.0007397,8166
37,0.7788,0.5914,0.5888,0.8211,0.5495,0.4991,0.0007397,8382
38,0.7835,0.5695,0.5616,0.8219,0.5488,0.4958,0.0007397,8599
39,0.7794,0.6991,0.6334,0.8236,0.5407,0.4907,0.0007397,8815
40,0.7726,0.6166,0.6056,0.8246,0.5367,0.4878,0.0007397,9100,0.8187,0.5542,0.4995
41,0.7697,0.7137,0.6967,0.8246,0.5370,0.4860,0.0006690,9317
42,0.7889,0.7533,0.6434,0.8277,0.5301,0.4810,0.0006690,9534
43,0.7852,0.5047,0.5031,0.8285,0.5246,0.4774,0.0006690,9750
44,0.7858,0.5675,0.5585,0.8285,0.5272,0.4754,0.0006690,9967
45,0.7877,0.5957,0.5221,0.8287,0.5280,0.4742,0.0006690,10184
46,0.7942,0.5799,0.5590,0.8293,0.5254,0.4712,0.0006690,10401
47,0.7792,0.6904,0.6292,0.8299,0.5234,0.4712,0.0006690,10618
48,0.7971,0.5913,0.5979,0.8317,0.5186,0.4685,0.0006690,10835
49,0.7821,0.6000,0.5799,0.8305,0.5195,0.4672,0.0006690,11051
50,0.8017,0.4901,0.5031,0.8329,0.5170,0.4641,0.0006690,11336,0.8269,0.5403,0.4744
